drug_a,drug_b,severity,severity
Warfarin,Ibuprofen,major,Increased bleeding risk via antiplatelet effect and GI injury
Lisinopril,Spironolactone,major,Hyperkalemia risk; monitor potassium
Metformin,Iodinated contrast,major,Hold metformin around contrast if eGFR reduced; lactic acidosis risk
Sertraline,Tramadol,major,Serotonin syndrome risk
Atorvastatin,Clarithromycin,major,CYP3A4 inhibition increases statin exposure / myopathy risk
Amiodarone,Warfarin,major,Potentiates anticoagulation; reduce warfarin dose and monitor INR
Simvastatin,Amlodipine,moderate,Increased simvastatin levels; dose limit simvastatin
Ciprofloxacin,Tizanidine,contraindicated,Severe hypotension / sedation
Digoxin,Clarithromycin,major,P-gp inhibition raises digoxin levels — toxicity risk (nausea visual bradycardia arrhythmias); avoid or reduce digoxin and monitor levels
Digoxin,Erythromycin,major,Macrolide P-gp inhibition increases digoxin exposure / toxicity risk
Digoxin,Amiodarone,major,Increases digoxin concentration; reduce digoxin dose and monitor
Digoxin,Verapamil,major,Increases digoxin levels; risk of toxicity and AV block
Sertraline,Tramadol,major,Serotonin syndrome risk (agitation clonus hyperreflexia fever); avoid or monitor closely; stop agents if toxicity develops
Warfarin,Ciprofloxacin,major,Fluoroquinolone increases INR / bleeding risk; monitor INR closely or avoid
Warfarin,Metronidazole,major,Increases INR; bleeding risk — monitor and adjust warfarin
Warfarin,Trimethoprim-sulfamethoxazole,major,Marked INR elevation risk; prefer alternative antibiotic when possible
